,,,,,,,,,,,,,,,,,
13715906.36,10.6.,4.0,5.0,8.0,20.0,23.0,26.0,33.0,NE,B,-,-,534308,1210361.4,5250322.26,237270.6,46.
13653622.82,7.6.,5.0,14.0,19.0,20.0,31.0,37.0,38.0,NE,B,-,-,871945,1161818.1,5129286.12,222001.2,45.
13595347.5,3.6.,7.0,10.0,21.0,22.0,23.0,26.0,32.0,NE,B,-,-,207213,1176959.7,5013104.31,229584.6,44.
13535081.54,31.5.,6.0,9.0,18.0,22.0,23.0,25.0,27.0,NE,B,-,-,769532,1088961.3,4895408.34,207310.5,43.
13480662.53,27.5.,1.0,2.0,8.0,13.0,14.0,33.0,39.0,DA,B,-,-,134823,1143679.5,4786512.21,222281.1,42.
13480662.53,24.5.,7.0,9.0,18.0,20.0,28.0,31.0,37.0,NE,B,-,-,771880,1130924.7,4672144.26,216113.4,41.
13423932.76,20.5.,10.0,14.0,18.0,20.0,27.0,33.0,38.0,NE,A,-,-,478380,1161164.7,4559051.79,225275.4,40.
13364797.96,17.5.,7.0,13.0,19.0,21.0,22.0,25.0,32.0,NE,A,-,-,327259,1145056.5,4442935.32,216952.2,39.
13307848.0,13.5.,12.0,22.0,28.0,31.0,33.0,35.0,38.0,NE,A,-,-,282158,1206481.5,4328429.67,232626.6,38.
13246783.51,10.5.,4.0,7.0,8.0,11.0,12.0,24.0,32.0,NE,B,-,-,724481,1199180.7,4207781.52,225808.2,37.
13187508.85,6.5.,1.0,6.0,7.0,17.0,18.0,32.0,38.0,NE,B,-,-,681772,1182284.1,4087863.45,228947.4,36.
13127410.15,3.5.,2.0,5.0,10.0,15.0,18.0,24.0,25.0,NE,B,-,-,525854,1098327.6,3969635.04,208836.0,35.
13072590.7,29.4.,3.0,11.0,17.0,22.0,23.0,26.0,36.0,NE,A,-,-,162376,1178644.5,3859802.28,229572.0,34.
13012328.05,26.4.,4.0,11.0,13.0,14.0,18.0,22.0,37.0,DA,B,-,-,742483,1132569.0,3741937.83,214711.2,33.
13012328.05,22.4.,4.0,23.0,26.0,29.0,31.0,34.0,39.0,NE,A,-,-,194639,1193845.5,3628680.93,231696.0,32.
12951507.85,19.4.,3.0,12.0,16.0,18.0,20.0,22.0,29.0,NE,B,-,-,823920,1148504.4,3509296.38,219320.1,31.
12893936.32,15.4.,3.0,4.0,10.0,21.0,26.0,29.0,30.0,NE,A,-,-,941300,1325980.8,3394445.94,259674.3,30.
12825771.81,12.4.,3.0,4.0,5.0,7.0,8.0,22.0,26.0,NE,A,-,-,754368,1210477.5,3261847.86,231118.2,29.
12765103.28,8.4.,3.0,4.0,5.0,6.0,16.0,21.0,33.0,NE,B,-,-,634356,1191885.3,3140800.11,231840.0,28.
12704245.28,5.4.,6.0,7.0,8.0,13.0,18.0,20.0,30.0,NE,B,-,-,800863,1171462.5,3021611.58,223867.8,27.
12645479.98,1.4.,2.0,6.0,20.0,22.0,26.0,28.0,35.0,NE,B,-,-,628265,1174329.9,2904465.33,229516.2,26.
12585231.97,29.3.,6.0,17.0,28.0,29.0,30.0,35.0,36.0,NE,B,-,-,806695,1131267.6,2787032.34,215796.6,25.
12528585.36,25.3.,1.0,5.0,8.0,13.0,25.0,28.0,30.0,NE,B,-,-,350858,1203962.4,2673905.58,233091.0,24.
12467398.97,22.3.,1.0,6.0,16.0,17.0,18.0,22.0,27.0,NE,B,-,-,162867,1196915.4,2553509.34,227138.4,23.
12407775.14,18.3.,12.0,13.0,19.0,23.0,26.0,28.0,39.0,NE,B,-,-,936923,1238438.7,2433817.8,239983.2,22.
12344779.55,15.3.,3.0,6.0,18.0,22.0,24.0,32.0,36.0,NE,A,-,-,436862,1250151.3,2309973.93,236938.5,21.
12282583.19,11.3.,14.0,15.0,22.0,23.0,28.0,35.0,39.0,NE,A,-,-,492355,1296899.1,2184958.8,250929.0,20.
12216714.32,8.3.,5.0,11.0,14.0,16.0,22.0,31.0,39.0,NE,B,-,-,291514,1250253.9,2055268.89,239466.6,19.
12153854.33,4.3.,4.0,9.0,11.0,12.0,13.0,24.0,27.0,DA,A,-,-,943421,1272661.2,1930243.5,247044.6,18.
12153854.33,1.3.,5.0,14.0,15.0,19.0,20.0,23.0,39.0,NE,B,-,-,055939,1263826.8,1802977.38,240723.0,17.
12090664.54,25.2.,2.0,5.0,6.0,16.0,18.0,31.0,39.0,NE,B,-,-,956268,1254546.9,1676594.7,243847.8,16.
12026654.49,22.2.,1.0,14.0,16.0,22.0,27.0,32.0,33.0,NE,B,-,-,146372,1269928.8,1551140.01,242566.2,15.
11962980.86,18.2.,11.0,12.0,16.0,22.0,34.0,38.0,39.0,NE,B,-,-,168224,1303568.1,1424147.13,253112.4,14.
11896538.85,15.2.,1.0,2.0,11.0,13.0,31.0,38.0,39.0,NE,A,-,-,112839,1322438.4,1293790.32,251530.2,13.
11830512.17,11.2.,7.0,11.0,21.0,25.0,29.0,31.0,32.0,NE,A,-,-,571119,1348828.2,1161546.48,260539.2,12.
11762120.63,8.2.,6.0,9.0,11.0,31.0,32.0,33.0,38.0,DA,B,-,-,682191,1280061.9,1026663.66,242989.2,11.
11762120.63,4.2.,2.0,15.0,17.0,19.0,20.0,31.0,38.0,NE,A,-,-,859710,1319530.5,898657.47,254522.7,10.
11695308.42,1.2.,2.0,17.0,20.0,22.0,27.0,29.0,30.0,NE,B,-,-,720920,1253202.3,766704.42,237775.5,9.
11632892.35,28.1.,1.0,6.0,10.0,12.0,25.0,28.0,35.0,NE,B,-,-,061258,1276435.8,641384.19,245683.8,8.
11568400.35,25.1.,2.0,10.0,12.0,21.0,24.0,32.0,38.0,NE,B,-,-,248012,1275650.1,513740.61,244764.0,7.
11504149.8,21.1.,4.0,5.0,10.0,14.0,17.0,27.0,30.0,NE,B,-,-,044750,1299558.6,386175.6,250364.7,6.
11438429.06,18.1.,4.0,6.0,28.0,33.0,34.0,36.0,39.0,NE,A,-,-,634486,1271664.9,256219.74,242538.3,5.
11374762.75,14.1.,8.0,9.0,18.0,19.0,26.0,30.0,39.0,NE,A,-,-,980968,1290532.5,129053.25,247866.3,4.
11309697.84,11.1.,11.0,13.0,17.0,23.0,29.0,32.0,36.0,DA,A,10000000.0,"33.009.021,84 kn",321937,1446298.2,-,285932.7,3.
32908945.39,7.1.,1.0,4.0,10.0,21.0,24.0,28.0,34.0,NE,B,-,-,844011,1368821.7,10000000.0,274341.6,2.
